TDAVGW v1.17n, TDIP data processed on 2021/05/18: Majuba
LINE:1N ARRAY:DPDP DIPOLE:300 UNITS:m T=59.412,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438
T1X T2X R1X R2X T1Y T2Y R1Y R2Y PltX PltY Z N Line Vp I TxFreq Sp ARes ARerr IPm IPerr MF QC IP0 IP1 IP2 IP3 IP4 IP5 IP6 IP7 IP8 IP9 IP10 IP11 IP12 PltEast PltNorth PltElev TxEast1 TxNorth1 TxElev1 TxEast2 TxNorth2 TxElev2 RxEast1 RxNorth1 RxElev1 RxEast2 RxNorth2 RxElev2 
3300 3600 4200 4500 0 0 0 0 3900 0 -450 2 1 218.17 11.66 0.125 0 424.94 0.01 14.15 0.01 33.31 1 27.21 19.71 15.98 13.56 11.83 10.49 9.468 8.593 7.898 7.307 6.789 6.311 5.903 376671.775 4501649.425 1677.475 376213.6 4502035.9 1679 376444.9 4501845.5 1634.9 376899.5 4501453.7 1675.3 377129.1 4501262.6 1720.7 
3300 3600 4200 4500 1 1 1 1 3900 1 -450 2 1 159.9 8.9 0.125 13.87 406.39 0.01 15.5 0.01 38.14 1 429.6 30.77 18.9 15.16 12.77 11.13 10.1 9.3 8.478 7.5 6.967 6.5 6.433 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
3000 3300 4500 4800 0 0 0 0 3900 0 -750 4 1 35.622 8.133 0.125 0 492.61 0.01 16.62 0.03 33.74 1 32.78 23.33 18.9 16.14 13.85 12.25 10.98 10.06 9.011 8.399 7.957 7.352 6.934 376672.15 4501647.75 1732.65 375984.3 4502225.2 1710.4 376213.6 4502035.9 1679 377129.1 4501262.6 1720.7 377361.6 4501067.3 1820.5 
3000 3300 4500 4800 1 1 1 1 3900 1 -750 4 1 40.433 9.2 0.125 8.38 497.05 0.02 18.78 0.1 37.78 1 429.2 32 22.8 18.16 15.3 13.74 12.23 10.9 9.6 9.233 8.4 7.667 7.133 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
2700 3000 4800 5100 0 0 0 0 3900 0 -1050 6 1 7.1428 4.429 0.125 0 511.06 0.03 18.83 0.34 36.85 1 40.35 25.71 20.5 18.18 14.76 14.07 13.22 9.561 9.14 8.646 9.221 7.822 7.891 376672.275 4501646.475 1760.375 375753.9 4502418.9 1768.6 375984.3 4502225.2 1710.4 377361.6 4501067.3 1820.5 377589.3 4500874.5 1742 
3600 3900 4200 4500 0 0 0 0 4050 0 -300 1 1 661.6 9.368 0.125 0 387.28 0.01 13.35 0.01 34.48 1 25.18 18.42 15 12.77 11.16 9.924 8.948 8.148 7.473 6.912 6.424 5.999 5.614 376787.725 4501552.675 1665.15 376444.9 4501845.5 1634.9 376677.4 4501648.9 1629.7 376899.5 4501453.7 1675.3 377129.1 4501262.6 1720.7 
3300 3600 4500 4800 0 0 0 0 4050 0 -600 3 1 80.053 11.66 0.125 0 384.33 0.01 15.14 0.01 39.39 1 29.45 21.14 17.12 14.51 12.66 11.2 10.12 9.177 8.437 7.796 7.241 6.71 6.269 376787.3 4501552.825 1713.775 376213.6 4502035.9 1679 376444.9 4501845.5 1634.9 377129.1 4501262.6 1720.7 377361.6 4501067.3 1820.5 
3300 3600 4500 4800 1 1 1 1 4050 1 -600 3 1 60.051 8.9 0.125 7.506 381.55 0.01 16.91 0.01 44.31 1 423.4 28.6 20.57 16.4 14 12.3 10.5 9.961 8.8 8.3 7.639 7.067 6.567 377588.875 4500875.125 1672.275 * * * * * * * * * * * * 
3000 3300 4800 5100 0 0 0 0 4050 0 -900 5 1 36.505 8.133 0.125 0 901.45 0.01 13.43 0.05 14.9 1 29.17 19.77 15.7 13.35 11.14 9.803 8.677 7.834 6.894 6.513 6.215 5.689 5.421 376787.2 4501550.725 1737.975 375984.3 4502225.2 1710.4 376213.6 4502035.9 1679 377361.6 4501067.3 1820.5 377589.3 4500874.5 1742 
2700 3000 5100 5400 0 0 0 0 4050 0 -1200 7 1 5.1125 4.429 0.125 0 544.16 0.04 26.18 0.51 48.12 1 56.2 35.76 28.33 25.3 20.98 19.45 18.47 13.25 12.7 11.82 12.89 10.74 10.93 376786.925 4501550.125 1722.625 375753.9 4502418.9 1768.6 375984.3 4502225.2 1710.4 377589.3 4500874.5 1742 377820.2 4500681.9 1669.5 
3600 3900 4500 4800 0 0 0 0 4200 0 -450 2 1 146.79 9.368 0.125 0 341.87 0.01 14.85 0.01 43.43 1 28.21 20.53 16.68 14.2 12.41 11.04 9.949 9.071 8.304 7.691 7.137 6.664 6.225 376903.25 4501456.075 1701.45 376444.9 4501845.5 1634.9 376677.4 4501648.9 1629.7 377129.1 4501262.6 1720.7 377361.6 4501067.3 1820.5 
3300 3600 4800 5100 0 0 0 0 4200 0 -750 4 1 70.091 11.66 0.125 0 686.81 0.01 12.01 0.01 17.49 1 25.73 17.62 13.95 11.62 10.05 8.764 7.96 7.092 6.499 6.036 5.6 5.046 4.707 376902.35 4501455.8 1719.1 376213.6 4502035.9 1679 376444.9 4501845.5 1634.9 377361.6 4501067.3 1820.5 377589.3 4500874.5 1742 
3000 3300 5100 5400 0 0 0 0 4200 0 -1050 6 1 24.613 8.133 0.125 0 964.1 0.01 20.86 0.08 21.64 1 44.94 30.58 24.28 20.7 17.33 15.21 13.44 12.18 10.76 10.14 9.63 8.823 8.448 376901.85 4501454.375 1700.225 375984.3 4502225.2 1710.4 376213.6 4502035.9 1679 377589.3 4500874.5 1742 377820.2 4500681.9 1669.5 
2700 3000 5400 5700 0 0 0 0 4200 0 -1350 8 1 2.7793 4.429 0.125 0 424.44 0.04 30.65 0.76 72.2 1 65.16 40.91 32.26 29.09 23.63 22.78 21.93 15.22 14.51 13.65 15.08 12.57 13.12 376901.775 4501453.575 1702.375 375753.9 4502418.9 1768.6 375984.3 4502225.2 1710.4 377820.2 4500681.9 1669.5 378048.7 4500488.3 1661 
3900 4200 4500 4800 0 0 0 0 4350 0 -300 1 1 299.77 8.908 0.125 0 189.03 0.01 19.45 0.01 102.9 1 35.46 26.33 21.66 18.52 16.25 14.5 13.11 11.97 11 10.16 9.474 8.856 8.299 377016.9 4501358.125 1711.55 376677.4 4501648.9 1629.7 376899.5 4501453.7 1675.3 377129.1 4501262.6 1720.7 377361.6 4501067.3 1820.5 
3600 3900 4800 5100 0 0 0 0 4350 0 -600 3 1 100.52 9.368 0.125 0 599.81 0.01 10.58 0.02 17.64 1 22.24 15.41 12.21 10.22 8.843 7.773 6.996 6.364 5.73 5.314 4.898 4.57 4.197 377018.3 4501359.05 1706.775 376444.9 4501845.5 1634.9 376677.4 4501648.9 1629.7 377361.6 4501067.3 1820.5 377589.3 4500874.5 1742 
3300 3600 5100 5400 0 0 0 0 4350 0 -900 5 1 44.016 11.66 0.125 0 747.78 0.01 19.48 0.02 26.05 1 41.38 28.45 22.58 18.83 16.31 14.25 12.91 11.51 10.59 9.781 9.114 8.256 7.662 377017 4501359.45 1681.35 376213.6 4502035.9 1679 376444.9 4501845.5 1634.9 377589.3 4500874.5 1742 377820.2 4500681.9 1669.5 
3000 3300 5400 5700 0 0 0 0 4350 0 -1200 7 1 12.575 8.133 0.125 0 741.96 0.01 25.45 0.1 34.3 1 55.48 37.31 29.69 25.32 21.08 18.53 16.32 14.84 12.99 12.28 11.93 10.82 10.38 377016.7 4501357.825 1679.975 375984.3 4502225.2 1710.4 376213.6 4502035.9 1679 377820.2 4500681.9 1669.5 378048.7 4500488.3 1661 
2700 3000 5700 6000 0 0 0 0 4350 0 -1500 9 1 1.8208 4.429 0.125 0 382.21 0.07 27.82 0.83 72.79 1 63.23 36.84 30.01 28.04 19.73 19.9 20.77 13.61 12.03 11.59 14.23 11.46 11.45 377016.275 4501357.075 1693.025 375753.9 4502418.9 1768.6 375984.3 4502225.2 1710.4 378048.7 4500488.3 1661 378278.2 4500295.9 1632.1 
3900 4200 4800 5100 0 0 0 0 4500 0 -450 2 1 132.9 8.908 0.125 0 344.41 0.01 14.69 0.01 42.65 1 28.25 20.36 16.67 14.09 12.26 10.87 9.815 8.954 8.166 7.472 6.979 6.51 6.045 377131.95 4501261.1 1716.875 376677.4 4501648.9 1629.7 376899.5 4501453.7 1675.3 377361.6 4501067.3 1820.5 377589.3 4500874.5 1742 
3600 3900 5100 5400 0 0 0 0 4500 0 -750 4 1 54.545 9.368 0.125 0 645.44 0.01 17.89 0.05 27.72 1 37.47 26.01 20.62 17.26 14.97 13.16 11.84 10.81 9.708 9.008 8.331 7.752 7.12 377132.95 4501262.7 1669.025 376444.9 4501845.5 1634.9 376677.4 4501648.9 1629.7 377589.3 4500874.5 1742 377820.2 4500681.9 1669.5 
3300 3600 5400 5700 0 0 0 0 4500 0 -1050 6 1 21.829 11.66 0.125 0 595.66 0.01 24.41 0.05 40.97 1 52.31 35.71 28.32 23.57 20.37 17.87 16.16 14.51 13.43 12.43 11.57 10.42 9.641 377131.85 4501262.9 1661.1 376213.6 4502035.9 1679 376444.9 4501845.5 1634.9 377820.2 4500681.9 1669.5 378048.7 4500488.3 1661 
3000 3300 5700 6000 0 0 0 0 4500 0 -1350 8 1 8.1749 8.133 0.125 0 688.7 0.02 22.74 0.13 33.02 1 53.23 34.77 27.04 22.99 18.82 16.55 14.36 12.91 11.09 10.75 10.45 9.166 9.097 377131.2 4501261.325 1670.625 375984.3 4502225.2 1710.4 376213.6 4502035.9 1679 378048.7 4500488.3 1661 378278.2 4500295.9 1632.1 
4200 4500 4800 5100 0 0 0 0 4650 0 -300 1 1 528.85 5.569 0.125 0 551.32 0.01 15.92 0.01 28.88 1 30.05 22.01 17.91 15.23 13.31 11.83 10.65 9.671 8.872 8.189 7.598 7.079 6.642 377244.875 4501164.525 1739.625 376899.5 4501453.7 1675.3 377129.1 4501262.6 1720.7 377361.6 4501067.3 1820.5 377589.3 4500874.5 1742 
3900 4200 5100 5400 0 0 0 0 4650 0 -600 3 1 58.317 8.908 0.125 0 374.02 0.01 21.79 0.02 58.26 1 42.54 30.33 24.9 20.96 18.18 16.06 14.55 13.3 12.06 10.98 10.3 9.591 8.856 377246.6 4501164.75 1679.125 376677.4 4501648.9 1629.7 376899.5 4501453.7 1675.3 377589.3 4500874.5 1742 377820.2 4500681.9 1669.5 
3600 3900 5400 5700 0 0 0 0 4650 0 -900 5 1 24.557 9.368 0.125 0 510.98 0.01 23.17 0.07 45.34 1 48.73 33.58 26.61 22.31 19.34 17.04 15.39 14.06 12.64 11.78 10.88 10.15 9.248 377247.8 4501166.15 1648.775 376444.9 4501845.5 1634.9 376677.4 4501648.9 1629.7 377820.2 4500681.9 1669.5 378048.7 4500488.3 1661 
3300 3600 5700 6000 0 0 0 0 4650 0 -1200 7 1 13.461 11.66 0.125 0 550.52 0.01 21.37 0.05 38.82 1 49.15 32.37 25.36 20.82 17.93 15.44 14.06 12.36 11.47 10.65 9.936 8.81 8.087 377246.35 4501166.4 1651.75 376213.6 4502035.9 1679 376444.9 4501845.5 1634.9 378048.7 4500488.3 1661 378278.2 4500295.9 1632.1 
4200 4500 5100 5400 0 0 0 0 4800 0 -450 2 1 114.64 5.569 0.125 0 469.58 0.01 23.8 0.01 50.68 1 45.08 32.97 26.8 22.74 19.91 17.68 15.91 14.42 13.22 12.18 11.29 10.51 9.873 377359.525 4501068.175 1701.875 376899.5 4501453.7 1675.3 377129.1 4501262.6 1720.7 377589.3 4500874.5 1742 377820.2 4500681.9 1669.5 
3900 4200 5400 5700 0 0 0 0 4800 0 -750 4 1 22.911 8.908 0.125 0 295.28 0.01 27.27 0.04 92.36 1 53.61 37.7 31.16 26.2 22.73 20.09 18.24 16.77 15.13 13.62 12.89 12.01 11.03 377361.45 4501068.2 1658.875 376677.4 4501648.9 1629.7 376899.5 4501453.7 1675.3 377820.2 4500681.9 1669.5 378048.7 4500488.3 1661 
3600 3900 5700 6000 0 0 0 0 4800 0 -1050 6 1 14.356 9.368 0.125 0 477.8 0.01 19.97 0.11 41.8 1 45.25 30.06 23.33 19.35 16.68 14.58 13.15 12.04 10.67 10.04 9.215 8.582 7.716 377362.3 4501069.65 1639.425 376444.9 4501845.5 1634.9 376677.4 4501648.9 1629.7 378048.7 4500488.3 1661 378278.2 4500295.9 1632.1 
4200 4500 5400 5700 0 0 0 0 4950 0 -600 3 1 29.907 5.569 0.125 0 307.07 0.01 29.95 0.02 97.53 1 56.79 41.4 33.64 28.51 25.09 22.28 19.98 18.17 16.6 15.22 14.09 13.13 12.41 377474.375 4500971.625 1681.625 376899.5 4501453.7 1675.3 377129.1 4501262.6 1720.7 377820.2 4500681.9 1669.5 378048.7 4500488.3 1661 
3900 4200 5700 6000 0 0 0 0 4950 0 -900 5 1 12.845 8.908 0.125 0 289.49 0.01 24.23 0.06 83.69 1 50.02 34.12 28.29 23.41 20.16 17.66 16.13 14.9 13.25 11.87 11.36 10.51 9.469 377475.95 4500971.7 1649.525 376677.4 4501648.9 1629.7 376899.5 4501453.7 1675.3 378048.7 4500488.3 1661 378278.2 4500295.9 1632.1 
4200 4500 5700 6000 0 0 0 0 5100 0 -750 4 1 13.634 5.569 0.125 0 279.36 0.01 26.44 0.04 94.63 1 51.7 37.12 29.91 25.1 22.13 19.68 17.57 15.86 14.48 13.29 12.22 11.23 10.79 377588.875 4500875.125 1672.275 376899.5 4501453.7 1675.3 377129.1 4501262.6 1720.7 378048.7 4500488.3 1661 378278.2 4500295.9 1632.1 

LINE:2N ARRAY:DPDP DIPOLE:300 UNITS:m T=59.412,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438,148.438
T1X T2X R1X R2X T1Y T2Y R1Y R2Y PltX PltY Z N Line Vp I TxFreq Sp ARes ARerr IPm IPerr MF QC IP0 IP1 IP2 IP3 IP4 IP5 IP6 IP7 IP8 IP9 IP10 IP11 IP12 PltEast PltNorth PltElev TxEast1 TxNorth1 TxElev1 TxEast2 TxNorth2 TxElev2 RxEast1 RxNorth1 RxElev1 RxEast2 RxNorth2 RxElev2 
1200 1500 0 300 2 2 2 2 750 2 -600 3 2 89.743 4.7 0.125 0.093 1079.8 0.01 20.21 0.16 18.72 1 424.9 31.4 24.23 19.58 16.53 14.37 12.83 11.37 10.43 9.478 8.661 8.067 7.5 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
1200 1500 300 600 2 2 2 2 900 2 -450 2 2 132.1 4.7 0.125 -17.04 635.75 0.01 18.01 0.01 28.33 1 426.1 33.17 21.77 17.37 14.74 12.83 11.6 10.4 9.4 8.3 7.933 7.2 6.467 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
1500 1800 0 300 2 2 2 2 900 2 -750 4 2 47.818 4.8 0.125 2.837 1126.7 0.04 10.67 0.28 9.468 1 414.8 17.32 13.32 10.54 8.833 7.367 6.667 6.2 5.567 4.783 4.317 4.222 3.7 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
1200 1500 600 900 2 2 2 2 1050 2 -300 1 2 296 4.7 0.125 7.787 356.14 0.01 16.4 0.01 46.06 1 413.5 26.8 19.93 15.9 13.6 11.8 10.53 9.4 8.5 7.739 7.4 6.7 6.061 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
1500 1800 300 600 2 2 2 2 1050 2 -600 3 2 59.446 4.8 0.125 -13.927 700.34 0.03 9.43 0.19 13.46 1 417.8 20.57 11.9 9.267 7.733 6.633 5.9 5.4 4.867 4.361 4.061 3.767 3.5 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
1800 2100 0 300 2 2 2 2 1050 2 -900 5 2 15.366 5.3 0.125 1.19 573.83 0.05 10.77 0.56 18.76 1 416.2 16.6 12.67 9.55 8.767 7.867 7.167 6.033 5.667 6.026 4.933 4.533 4 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
1500 1800 600 900 2 2 2 2 1200 2 -450 2 2 88.451 4.8 0.125 9.3 416.81 0.03 7.08 0.12 16.98 1 403.8 12.66 8.867 7 5.7 5.033 4.533 4 3.667 3.4 3.061 3 2.661 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
1800 2100 300 600 2 2 2 2 1200 2 -750 4 2 17.898 5.3 0.125 -15.548 381.93 0.01 9.26 0.47 24.24 1 418.8 19.73 10.95 8.7 7.15 6.667 6.426 5.806 5.133 4.617 4.533 3.833 3.633 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2100 2400 0 300 2 2 2 2 1200 2 -1050 6 2 7.5851 3.8 0.125 -1.693 632.1 0.04 16.2 0.01 25.63 1 429.1 26.15 19.57 15.64 13.97 12.5 11.17 9.612 9.767 9 7 7.045 6.367 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
1500 1800 900 1200 2 2 2 2 1350 2 -300 1 2 302.9 4.8 0.125 14.22 356.85 0.01 16.1 0.01 45.12 1 416.5 26.2 19.54 15.7 13.3 11.73 10.36 9.5 8.6 7.7 7.1 6.6 6.4 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
1800 2100 600 900 2 2 2 2 1350 2 -600 3 2 22.657 5.3 0.125 8.52 241.74 0.02 5.74 0.28 23.73 1 403.1 10.13 6.617 5.267 4.667 4.167 3.9 3.743 3.133 3.078 2.9 2.567 2.3 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2100 2400 300 600 2 2 2 2 1350 2 -900 5 2 8.6529 3.8 0.125 -18.41 450.68 0.02 14.69 0.33 32.59 1 430 29.64 17.98 14.13 12 11.03 9.883 9.184 7.9 7.867 6.25 6.567 6.022 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2400 2700 0 300 2 2 2 2 1350 2 -1200 7 2 4.3995 2.8 0.125 -6.926 746.37 0.07 7.95 1.32 10.65 1 423.6 18.26 11.5 8.672 6.44 5.376 4.764 3.02 3.697 2.934 1.866 1.8 2.385 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
1800 2100 900 1200 2 2 2 2 1500 2 -450 2 2 52.518 5.3 0.125 13.19 224.14 0.01 10.94 0.17 48.79 1 409.7 17.8 12.96 10.26 9.033 8 7.4 6.5 6.039 5.6 5.133 4.7 4.278 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2100 2400 600 900 2 2 2 2 1500 2 -750 4 2 10.839 3.8 0.125 6.137 322.58 0.01 11.94 0.24 37.02 1 413.4 20.33 14.37 11.28 9.933 8.833 7.6 7.122 6.4 6.4 5.15 5.267 4.437 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2400 2700 300 600 2 2 2 2 1500 2 -1050 6 2 4.9434 2.8 0.125 -8.883 559.09 0.05 7.92 1.01 14.17 1 425.7 22.32 11.12 8.419 6.24 5.372 4.814 4.266 3.918 2.683 2.272 2.14 2.957 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2700 3000 0 300 2 2 2 2 1500 2 -1350 8 2 4.559 3.2 0.125 -0.688 966.77 0.17 16.33 0.93 16.89 1 439.8 32.05 21.73 15.48 13.54 11.57 9.7 8.925 8.075 5.661 5.65 5.9 5.673 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
1800 2100 1200 1500 2 2 2 2 1650 2 -300 1 2 174.1 5.3 0.125 9.639 185.76 0.01 16.6 0.01 89.39 1 427.3 31.66 20.2 16 13.7 12 10.47 9.5 8.633 7.933 7.233 6.661 6.139 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2100 2400 900 1200 2 2 2 2 1650 2 -600 3 2 21.375 3.8 0.125 10.281 318.08 0.01 13.81 0.2 43.42 1 417.1 22.83 16.33 13.02 11.46 10.2 9.1 8.1 7.622 7.022 6.333 5.9 5.433 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2400 2700 600 900 2 2 2 2 1650 2 -900 5 2 5.9738 2.8 0.125 6.809 422.26 0.02 6.48 0.71 15.35 1 410.9 14.7 8.94 6.836 5.28 4.54 3.892 3.086 3.175 3.192 2.2 1.9 2.305 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2700 3000 300 600 2 2 2 2 1650 2 -1200 7 2 5.0496 3.2 0.125 -17.76 749.57 0.14 15.45 0.71 20.61 1 440.4 34.65 20.2 14.84 12.38 10.97 9.55 8.45 7.3 6.208 5.35 5.425 5.175 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
3000 3300 0 300 2 2 2 2 1650 2 -1500 9 2 3.0081 4.7 0.125 -4.398 597.17 0.17 43.23 1.25 72.4 1 480.5 72.16 52.9 42.06 35.55 31.12 28.13 23.9 22.77 21.35 15.77 16.35 14.49 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2100 2400 1200 1500 2 2 2 2 1800 2 -450 2 2 55.507 3.8 0.125 4.853 330.4 0.01 16.06 0.1 48.61 1 429.2 31.1 19.3 15.57 13.3 11.4 10.26 9.261 8.433 7.8 6.9 6.6 6.161 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2400 2700 900 1200 2 2 2 2 1800 2 -750 4 2 11.725 2.8 0.125 17.111 473.58 0.02 9.42 0.49 19.89 1 413 17.82 11.92 9.333 7.78 6.861 5.94 4.966 4.847 4.116 3.64 3.44 3.34 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2700 3000 600 900 2 2 2 2 1800 2 -1050 6 2 6.037 3.2 0.125 7.037 597.42 0.09 13.43 0.41 22.49 1 422.6 25.8 17.2 12.85 11.17 9.763 7.706 7.45 6.6 5.663 5.125 4.9 4.225 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
3000 3300 300 600 2 2 2 2 1800 2 -1350 8 2 3.2868 4.7 0.125 -18.22 474.54 0.13 41.67 0.91 87.81 1 478.4 73.46 49.78 40.52 34.32 29.78 26.98 23.6 21.48 20.35 16.72 16.38 14.9 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
3300 3600 0 300 2 2 2 2 1800 2 -1650 10 2 5.4067 6 0.125 -3.216 1121.1 0.17 13 1.85 11.6 1 450.6 32.82 19.87 16.3 10.32 8.14 6.86 6.02 5.055 3.7 4.16 3.76 3.24 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2400 2700 1200 1500 2 2 2 2 1950 2 -600 3 2 27.991 2.8 0.125 2.856 565.3 0.02 12.99 0.21 22.98 1 428.7 27.52 16.19 12.77 10.7 9.233 8.02 7.347 6.621 5.92 5.34 4.867 4.678 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2700 3000 900 1200 2 2 2 2 1950 2 -900 5 2 10.958 3.2 0.125 11.911 677.74 0.07 14.57 0.35 21.49 1 424.8 26.48 18.4 13.96 12.3 10.42 8.871 8.35 7.325 6.534 6.1 5.675 5.241 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
3000 3300 600 900 2 2 2 2 1950 2 -1200 7 2 3.9222 4.7 0.125 5.201 396.4 0.1 37.59 0.79 94.82 1 457.6 62.77 45.26 36.48 31.36 27.4 24.16 21.83 19.7 18.34 16.43 14.83 13.16 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
3300 3600 300 600 2 2 2 2 1950 2 -1500 9 2 5.7157 6 0.125 -17.863 888.84 0.17 12.72 1.48 14.31 1 453.2 36.69 18.66 13.82 10.64 8.24 6.68 6.14 5.26 3.98 4.22 4.22 3.5 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2400 2700 1500 1800 2 2 2 2 2100 2 -450 2 2 89.039 2.8 0.125 -5.68 719.29 0.01 6.9 0.08 9.598 1 401.9 10.67 8.7 6.644 5.6 4.906 4.419 3.78 3.6 3.18 2.82 2.667 2.544 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2700 3000 1200 1500 2 2 2 2 2100 2 -750 4 2 23.789 3.2 0.125 3.57 840.79 0.05 15.75 0.26 18.73 1 434.3 32.3 19.52 15.18 12.92 11.52 9.875 8.756 7.697 7.098 6.375 6.1 5.65 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
3000 3300 900 1200 2 2 2 2 2100 2 -1050 6 2 6.609 4.7 0.125 12.444 445.3 0.09 38.01 0.68 85.36 1 460.8 63.07 45.4 36.77 31.44 27.59 24.83 21.97 19.6 18.79 15.81 15.31 13.59 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
3300 3600 600 900 2 2 2 2 2100 2 -1350 8 2 6.3294 6 0.125 5.169 715.84 0.12 11.65 1.1 16.28 1 436.8 28.52 16.74 12.48 9.44 7.54 6.62 5.74 4.66 4.22 4.209 3.578 3.08 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2400 2700 1800 2100 2 2 2 2 2250 2 -300 1 2 474.7 3 0.125 7.467 894.79 0.01 8.42 0.07 9.41 1 416.7 19.03 10.5 8.261 6.767 6.167 5.2 4.8 4.4 3.9 3.7 3.239 3.067 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2700 3000 1500 1800 2 2 2 2 2250 2 -600 3 2 57.747 3.2 0.125 -6.41 1020.5 0.02 7.87 0.07 7.717 1 405.3 12.73 9.875 7.65 6.53 5.65 4.975 4.237 3.841 3.407 3.159 3 2.852 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
1200 1500 3000 3300 2 2 2 2 2250 2 -900 5 2 14.443 5 0.125 -93.075 571.73 0.01 37.2 0.14 65.06 1 452.2 59.03 44.33 36.23 30.66 27.06 24.08 22.18 20.28 18.63 16.83 15.8 14.64 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
3000 3300 1200 1500 2 2 2 2 2250 2 -900 5 2 13.417 4.7 0.125 -0.102 565 0.06 37.95 0.38 67.16 1 466.1 66.18 45.27 36.87 31.32 27.3 24.56 21.82 19.71 18.39 16.54 14.93 14.79 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
3300 3600 900 1200 2 2 2 2 2250 2 -1200 7 2 10.764 6 0.125 11.816 852.18 0.09 13.2 0.89 15.49 1 435.6 28.76 18.06 13.84 10.84 8.93 7.68 6.94 6.14 5.26 5.26 4.78 4.12 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2700 3000 1800 2100 2 2 2 2 2400 2 -450 2 2 167.9 3.2 0.125 8.563 1186.8 0.01 9.22 0.21 7.773 1 419.5 20.5 11.8 8.833 7.317 6.822 5.6 5.439 4.783 4.5 4.303 3.254 3.283 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
1500 1800 3000 3300 2 2 2 2 2400 2 -750 4 2 29.616 5.3 0.125 -93.917 631.99 0.02 28.3 0.2 44.78 1 436.9 45.23 34.2 27.1 23.46 20.43 18.23 16.3 15.1 13.76 12.77 11.83 10.9 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
3000 3300 1500 1800 2 2 2 2 2400 2 -750 4 2 26.143 4.7 0.125 -7.069 629.08 0.04 29.08 0.19 46.23 1 437.5 46.07 34.96 28.08 23.99 21.14 18.8 16.94 15.49 14.3 12.88 11.86 10.82 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
1200 1500 3300 3600 2 2 2 2 2400 2 -1050 6 2 16.249 5 0.125 0.96 1029.1 0.01 17.14 0.07 16.66 1 445.7 35.73 21.2 16.93 14.04 13 10.57 9.933 9.017 8.114 7.3 6.9 6.516 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
3300 3600 1200 1500 2 2 2 2 2400 2 -1050 6 2 19.576 6 0.125 -1.878 1033.2 0.07 14.41 0.62 13.95 1 444.7 33.94 19.06 14.6 11.82 10.22 8.68 7.84 7 5.8 5.407 5.23 4.642 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
2700 3000 2100 2400 2 2 2 2 2550 2 -300 1 2 975.5 3.2 0.125 -80.083 1723.9 0.01 8.05 0.01 4.67 1 402.3 12.3 10 7.8 6.6 5.7 5 4.5 4.1 3.7 3.5 3.2 3 378491.1 4500896.15 1646.6 * * * * * * * * * * * * 
